,geometry,Node,pointgeo,x,y,osmid,IsCentroid
0,POINT (105.5520195932107 20.28094582996281),0,POINT (105.5520195932107 20.28094582996281),105.552019593,20.28094583,0,1
1,POINT (105.5552144346459 20.26302744396019),2,POINT (105.5552144346459 20.26302744396019),105.555214435,20.263027444,1,1
2,POINT (105.5856554044678 20.2733981790191),3,POINT (105.5856554044678 20.2733981790191),105.585655404,20.273398179,2,0
3,POINT (105.5658120417363 20.25472462500657),6,POINT (105.5658120417363 20.25472462500657),105.565812042,20.254724625,3,1
4,POINT (105.5697379126286 20.25285281629724),7,POINT (105.5697379126286 20.25285281629724),105.569737913,20.2528528163,4,0
5,POINT (105.5948921070372 20.23390698306157),8,POINT (105.5948921070372 20.23390698306157),105.594892107,20.2339069831,5,0
6,POINT (105.5881444133594 20.276459550392),11,POINT (105.5881444133594 20.276459550392),105.588144413,20.2764595504,6,0
7,POINT (105.5857989887729 20.15608789854151),13,POINT (105.5857989887729 20.15608789854151),105.585798989,20.1560878985,7,1
8,POINT (105.6161673917474 20.20943437064778),14,POINT (105.6161673917474 20.20943437064778),105.616167392,20.2094343706,8,1
9,POINT (105.6632178602629 20.17253826913636),54,POINT (105.6632178602629 20.17253826913636),105.66321786,20.1725382691,9,0
10,POINT (105.6613164319223 20.16288383720157),57,POINT (105.6613164319223 20.16288383720157),105.661316432,20.1628838372,10,0
11,POINT (105.6086276571643 20.11112367568567),16,POINT (105.6086276571643 20.11112367568567),105.608627657,20.1111236757,11,1
12,POINT (105.6219728192725 20.11553926517638),34,POINT (105.6219728192725 20.11553926517638),105.621972819,20.1155392652,12,0
13,POINT (105.6032869204835 20.23722099874179),19,POINT (105.6032869204835 20.23722099874179),105.60328692,20.2372209987,13,1
14,POINT (105.638231244552 20.21379137861454),44,POINT (105.638231244552 20.21379137861454),105.638231245,20.2137913786,14,0
15,POINT (105.6562712044171 20.2122072419355),46,POINT (105.6562712044171 20.2122072419355),105.656271204,20.2122072419,15,0
