,ID,IsCentroid,Line_Geome,TC_iri_med,VPROMMS_ID,geometry,iri_max,iri_mean,iri_med,iri_min,iri_stdev,length,osmid,speed_mean,speed_med,total_cost,End_pos,Start_pos,TNODE_,FNODE_
0,0,1,"LINESTRING (105.4695039461728 20.03761637726855, 105.4695039573406 20.03761637120307, 105.4695039646571 20.03761636935414, 105.469504095017 20.03761636968153, 105.4695041809551 20.03761635909861, 105.4695052446249 20.03761636171186, 105.4695074291934 20.",8.32,Input VPROMMS: 212TH00024 (70.05 pct); 214YD00030 (18.36 pct); transit 10 (10.14 pct); 213YD00005 (0.97 pct); 214YD00032 (0.48 pct);,"LINESTRING (105.4695039461728 20.03761637726855, 105.5282505569264 20.01274865866924)",14.67,8.75806451613,8.32,6.07,2.16492558664,8.36339768589,10000,34.1058064516,35.21,21.5775660296,"(105.469503946, 20.0376163773)","(105.528250557, 20.0127486587)",0,1
1,10,0,"LINESTRING (105.5282505569264 20.01274865866924, 105.5282551427012 20.01274843579139, 105.5283230334471 20.01273898655857, 105.5283868920546 20.01272359386891, 105.5284477738287 20.01270188701348, 105.5285045238732 20.01267414437222, 105.5285571421881 20",14.1,Input VPROMMS: 214YD00030 (63.08 pct); 212TH00024 (33.85 pct); transit 9_ (1.54 pct); 214YD00032 (1.54 pct);,"LINESTRING (105.5282505569264 20.01274865866924, 105.5397463540607 20.00926851084176)",43.77,23.994,14.1,8.68,16.9269763986,1.27154743665,10001,34.632,35.71,5.11797843252,"(105.528250557, 20.0127486587)","(105.539746354, 20.0092685108)",1,16
2,5,0,"LINESTRING (105.5282505569264 20.01274865866924, 105.5282222754581 20.01270580645891, 105.5281672226557 20.01263573022975, 105.5281424317163 20.0125987802918, 105.5281014354622 20.01255033280121, 105.5280557389344 20.01250753557727, 105.5280493737758 20.",6.85040983607,214YD00032,"LINESTRING (105.5282505569264 20.01274865866924, 105.5135394840097 20.0001360818148)",,,,,,2.63932228641,10002,,,5.83977098105,"(105.528250557, 20.0127486587)","(105.513539484, 20.0001360818)",1,219
3,8,1,"LINESTRING (105.5282992692476 20.02846814825345, 105.5282881548963 20.02846105634598, 105.5282293474334 20.02843145377382, 105.5281694712723 20.02840909090358, 105.5281373772413 20.02840112692701, 105.5281088835501 20.02839154837441, 105.5280481783861 20",7.86,213YD00006,"LINESTRING (105.5282992692476 20.02846814825345, 105.5218047854676 20.02217990953101)",9.67,7.157,7.86,3.05,2.13290125833,1.06708313708,10003,30.517,31.37,2.6303599329,"(105.528299269, 20.0284681483)","(105.521804785, 20.0221799095)",3,220
4,12,0,"LINESTRING (105.5475506704337 20.02627770332113, 105.5473975957772 20.02631162513182, 105.5473149735105 20.02632045173254, 105.5472783081942 20.02631977715467, 105.5472525081865 20.02632253338946, 105.5472158428701 20.02632185881159, 105.5471900428624 20",6.43,Input VPROMMS: 213YD00006 (55.29 pct); 214YD00002 (44.71 pct);,"LINESTRING (105.5282992692476 20.02846814825345, 105.5475506704337 20.02627770332113)",8.88,5.94,6.43,2.83,1.87331479825,2.05987749639,10004,33.1184,34.29,4.34119182364,"(105.528299269, 20.0284681483)","(105.54755067, 20.0262777033)",3,9
5,11,1,"LINESTRING (105.5282992692476 20.02846814825345, 105.528256488846 20.02879502490445, 105.5282562610388 20.02879559516067, 105.5282553399668 20.02879726134959, 105.5282368256301 20.02882265404004, 105.5282302542475 20.02883453217919, 105.5282013813776 20.",6.78,214YD00009,"LINESTRING (105.5282992692476 20.02846814825345, 105.5320607349481 20.0383126445937)",7.12,6.88333333333,6.78,6.75,0.205507501891,1.49326136758,10005,22.8466666667,23.41,3.27770870184,"(105.528299269, 20.0284681483)","(105.532060735, 20.0383126446)",3,13
6,13,1,"LINESTRING (105.5413496101563 20.04409026267322, 105.541336880791 20.04408357395269, 105.5411941683115 20.04402404510294, 105.5411325942371 20.0440061852422, 105.5410705796494 20.04399596581752, 105.5410190142186 20.0439938365013, 105.5410079359876 20.04",7.015,214YD00056,"LINESTRING (105.5413496101563 20.04409026267322, 105.5320607349481 20.0383126445937)",7.61,7.035,7.015,6.5,0.460325971459,1.21169629214,10006,21.9375,21.9,2.73086051841,"(105.54134961, 20.0440902627)","(105.532060735, 20.0383126446)",11,13
7,16,1,"LINESTRING (105.5540640106717 20.06325871505795, 105.5538624274903 20.0632400889148, 105.5538309792199 20.06323350392414, 105.5538278185784 20.06323320944325, 105.5537853427879 20.06322432681811, 105.5537700953258 20.06321928879598, 105.5537245511074 20.",6.47,Input VPROMMS: 214YD00058 (43.24 pct); transit 5_ (36.49 pct); transit fr (13.51 pct); transit 7_ (2.7 pct); 214YD00057 (2.7 pct); transit 4_ (1.35 pct);,"LINESTRING (105.5339725313789 20.06028333696498, 105.5540640106717 20.06325871505795)",7.74,6.10857142857,6.47,3.89,1.36197685457,2.13220057407,10007,32.6042857143,31.87,4.51493471559,"(105.533972531, 20.060283337)","(105.554064011, 20.0632587151)",6,14
8,9,2,"LINESTRING (105.5339725313789 20.06028333696498, 105.5339641051712 20.06029100479725, 105.5339555034991 20.06029474999841, 105.533890378805 20.06033004719565, 105.5338229921244 20.06037548344947, 105.5337672759584 20.06042256815621, 105.5337238675899 20.",6.25,212TH00029,"LINESTRING (105.5339725313789 20.06028333696498, 105.5246241785949 20.0746299703249)",42.92,9.09,6.25,4.3,9.55721642081,1.95209439769,10008,30.7073333333,32.65,4.02619469524,"(105.533972531, 20.060283337)","(105.524624179, 20.0746299703)",6,224
9,17,1,"LINESTRING (105.5413496101563 20.04409026267322, 105.5413454353871 20.04413923008094, 105.5413377267394 20.04418172025999, 105.5413343695205 20.04420756018325, 105.541318885019 20.04427283577748, 105.5412969740475 20.04433366889037, 105.5412686366063 20.",8.645,Input VPROMMS: 212TH00029 (64.79 pct); transit 4_ (32.39 pct); transit 5_ (2.82 pct);,"LINESTRING (105.5339725313789 20.06028333696498, 105.5413496101563 20.04409026267322)",40.65,10.7438888889,8.645,5.18,8.34978769641,1.98960886837,10009,31.0433333333,30.33,5.29484660095,"(105.533972531, 20.060283337)","(105.54134961, 20.0440902627)",6,11
