,geometry,Node,pointgeo,x,y,osmid,IsCentroid
0,POINT (105.4695039461728 20.03761637726855),0,POINT (105.4695039461728 20.03761637726855),105.469503946,20.0376163773,0,1
1,POINT (105.5282505569264 20.01274865866924),1,POINT (105.5282505569264 20.01274865866924),105.528250557,20.0127486587,1,0
2,POINT (105.5282992692476 20.02846814825345),3,POINT (105.5282992692476 20.02846814825345),105.528299269,20.0284681483,2,0
3,POINT (105.5413496101563 20.04409026267322),11,POINT (105.5413496101563 20.04409026267322),105.54134961,20.0440902627,3,0
4,POINT (105.5339725313789 20.06028333696498),6,POINT (105.5339725313789 20.06028333696498),105.533972531,20.060283337,4,1
5,POINT (105.5475506704337 20.02627770332113),9,POINT (105.5475506704337 20.02627770332113),105.54755067,20.0262777033,5,0
6,POINT (105.5397463540607 20.00926851084176),16,POINT (105.5397463540607 20.00926851084176),105.539746354,20.0092685108,6,0
7,POINT (105.5418258673257 20.03455365019457),18,POINT (105.5418258673257 20.03455365019457),105.541825867,20.0345536502,7,0
8,POINT (105.5484118069716 20.02902956027938),27,POINT (105.5484118069716 20.02902956027938),105.548411807,20.0290295603,8,0
9,POINT (105.5320607349481 20.0383126445937),13,POINT (105.5320607349481 20.0383126445937),105.532060735,20.0383126446,9,1
10,POINT (105.5540640106717 20.06325871505795),14,POINT (105.5540640106717 20.06325871505795),105.554064011,20.0632587151,10,0
11,POINT (105.580881547925 20.0434843282227),41,POINT (105.580881547925 20.0434843282227),105.580881548,20.0434843282,11,0
12,POINT (105.5757542206403 20.04045534368222),87,POINT (105.5757542206403 20.04045534368222),105.575754221,20.0404553437,12,1
13,POINT (105.5457177995032 20.01747445067507),20,POINT (105.5457177995032 20.01747445067507),105.5457178,20.0174744507,13,0
14,POINT (105.5468713218887 20.00675125902982),21,POINT (105.5468713218887 20.00675125902982),105.546871322,20.006751259,14,0
15,POINT (105.5474461348615 20.00670463805945),23,POINT (105.5474461348615 20.00670463805945),105.547446135,20.0067046381,15,0
16,POINT (105.5685219114351 20.00523546698645),32,POINT (105.5685219114351 20.00523546698645),105.568521911,20.005235467,16,0
17,POINT (105.5638466413039 19.98723914877502),35,POINT (105.5638466413039 19.98723914877502),105.563846641,19.9872391488,17,0
18,POINT (105.5482571824201 20.02856116734694),25,POINT (105.5482571824201 20.02856116734694),105.548257182,20.0285611673,18,0
