,Landslide_mean,rawmean,normed
0,5.0,5.0,1.0
1,5.0,5.0,1.0
2,5.0,5.0,1.0
3,5.0,5.0,1.0
4,4.2,4.2,0.84
5,5.0,5.0,1.0
6,4.0,4.0,0.8
7,4.5,4.5,0.9
8,3.28571428571,3.28571428571,0.657142857143
9,3.0,3.0,0.6
10,3.28571428571,3.28571428571,0.657142857143
11,5.0,5.0,1.0
12,5.0,5.0,1.0
13,5.0,5.0,1.0
14,5.0,5.0,1.0
15,4.5,4.5,0.9
16,3.8,3.8,0.76
17,1.75,1.75,0.35
18,2.0,2.0,0.4
19,3.5,3.5,0.7
20,2.5,2.5,0.5
21,1.5,1.5,0.3
22,2.375,2.375,0.475
23,1.5,1.5,0.3
24,1.0,1.0,0.2
25,2.83333333333,2.83333333333,0.566666666667
26,1.6,1.6,0.32
27,2.0,2.0,0.4
28,1.66666666667,1.66666666667,0.333333333333
29,3.0,3.0,0.6
30,1.0,1.0,0.2
31,2.66666666667,2.66666666667,0.533333333333
32,2.5,2.5,0.5
33,2.33333333333,2.33333333333,0.466666666667
34,3.0,3.0,0.6
35,2.2,2.2,0.44
36,2.66666666667,2.66666666667,0.533333333333
37,3.0,3.0,0.6
38,3.5,3.5,0.7
39,3.0,3.0,0.6
40,2.5,2.5,0.5
41,3.0,3.0,0.6
42,4.33333333333,4.33333333333,0.866666666667
43,4.0,4.0,0.8
44,2.0,2.0,0.4
45,5.0,5.0,1.0
46,3.0,3.0,0.6
47,2.16666666667,2.16666666667,0.433333333333
48,2.0,2.0,0.4
49,2.66666666667,2.66666666667,0.533333333333
50,1.66666666667,1.66666666667,0.333333333333
51,2.0,2.0,0.4
52,2.33333333333,2.33333333333,0.466666666667
53,3.0,3.0,0.6
54,2.75,2.75,0.55
55,5.0,5.0,1.0
56,4.58333333333,4.58333333333,0.916666666667
57,2.5,2.5,0.5
58,2.75,2.75,0.55
59,2.0,2.0,0.4
60,1.25,1.25,0.25
61,2.33333333333,2.33333333333,0.466666666667
62,2.5,2.5,0.5
63,2.0,2.0,0.4
64,2.75,2.75,0.55
65,2.5,2.5,0.5
66,2.0,2.0,0.4
67,3.0,3.0,0.6
68,1.33333333333,1.33333333333,0.266666666667
69,3.0,3.0,0.6
70,2.0,2.0,0.4
71,2.75,2.75,0.55
72,3.0,3.0,0.6
73,1.75,1.75,0.35
74,2.0,2.0,0.4
75,1.0,1.0,0.2
76,2.0,2.0,0.4
77,2.0,2.0,0.4
78,2.0,2.0,0.4
79,1.22222222222,1.22222222222,0.244444444444
80,1.66666666667,1.66666666667,0.333333333333
81,2.0,2.0,0.4
82,1.0,1.0,0.2
83,1.0,1.0,0.2
84,1.0,1.0,0.2
85,1.0,1.0,0.2
86,1.0,1.0,0.2
87,2.0,2.0,0.4
88,1.0,1.0,0.2
89,1.0,1.0,0.2
90,1.0,1.0,0.2
91,1.25,1.25,0.25
92,1.0,1.0,0.2
93,1.66666666667,1.66666666667,0.333333333333
94,1.66666666667,1.66666666667,0.333333333333
95,2.0,2.0,0.4
96,2.0,2.0,0.4
97,1.5,1.5,0.3
98,1.66666666667,1.66666666667,0.333333333333
99,2.0,2.0,0.4
100,2.375,2.375,0.475
101,2.0,2.0,0.4
102,2.8,2.8,0.56
103,1.33333333333,1.33333333333,0.266666666667
104,2.0,2.0,0.4
105,2.0,2.0,0.4
106,2.5,2.5,0.5
107,2.6,2.6,0.52
108,2.0,2.0,0.4
109,2.0,2.0,0.4
110,1.26666666667,1.26666666667,0.253333333333
111,1.25,1.25,0.25
112,2.0,2.0,0.4
