,Typhoon - 100 year return period_mean,rawmean,normed
0,53.300564412,53.300564412,1
1,53.3517751557,53.3517751557,1
2,53.3105818345,53.3105818345,1
3,53.3105818345,53.3105818345,1
4,53.3118759986,53.3118759986,1
5,53.3224245521,53.3224245521,1
6,53.3300235354,53.3300235354,1
7,53.3377913795,53.3377913795,1
8,53.3508200901,53.3508200901,1
9,53.3716513711,53.3716513711,1
10,53.3904320636,53.3904320636,1
11,53.3726986299,53.3726986299,1
12,53.3726986299,53.3726986299,1
13,53.3687185043,53.3687185043,1
14,53.3897243048,53.3897243048,1
15,53.370404244,53.370404244,1
16,53.3559844357,53.3559844357,1
17,53.3599045436,53.3599045436,1
18,53.3583976726,53.3583976726,1
19,53.3660972225,53.3660972225,1
20,53.3679862972,53.3679862972,1
21,53.3688928885,53.3688928885,1
22,53.3815103699,53.3815103699,1
23,53.3645800605,53.3645800605,1
24,53.3676739468,53.3676739468,1
25,53.406858571,53.406858571,1
26,53.3837760727,53.3837760727,1
27,53.386588872,53.386588872,1
28,53.39091552,53.39091552,1
29,53.3965348524,53.3965348524,1
30,53.3962187011,53.3962187011,1
31,53.4032446768,53.4032446768,1
32,53.4033211863,53.4033211863,1
33,53.4240066154,53.4240066154,1
34,53.4218569726,53.4218569726,1
35,53.4186813675,53.4186813675,1
36,53.4339178031,53.4339178031,1
37,53.4317143809,53.4317143809,1
38,53.3987343243,53.3987343243,1
39,53.4483816088,53.4483816088,1
40,53.4763268025,53.4763268025,1
41,53.477370671,53.477370671,1
42,53.4047864524,53.4047864524,1
43,53.4039519657,53.4039519657,1
44,53.5610900846,53.5610900846,1
45,53.4144475855,53.4144475855,1
46,53.4997208593,53.4997208593,1
47,53.5036571455,53.5036571455,1
48,53.4305666244,53.4305666244,1
49,53.4432011381,53.4432011381,1
50,53.5366863439,53.5366863439,1
51,53.5591000567,53.5591000567,1
52,53.5822137078,53.5822137078,1
53,53.431496869,53.431496869,1
54,53.4467348772,53.4467348772,1
55,53.4214694493,53.4214694493,1
56,53.4456434285,53.4456434285,1
57,53.5715366826,53.5715366826,1
58,53.5867475401,53.5867475401,1
59,53.5884260726,53.5884260726,1
60,53.5858910127,53.5858910127,1
61,53.521447592,53.521447592,1
62,53.5266128462,53.5266128462,1
63,53.5715366826,53.5715366826,1
64,53.574853444,53.574853444,1
65,53.574853444,53.574853444,1
66,53.5715924392,53.5715924392,1
67,53.5781702053,53.5781702053,1
68,53.5806268155,53.5806268155,1
69,53.586048063,53.586048063,1
70,53.5925714379,53.5925714379,1
71,53.4645570479,53.4645570479,1
72,53.5010280598,53.5010280598,1
73,53.546605634,53.546605634,1
74,53.5350957208,53.5350957208,1
75,53.5925714379,53.5925714379,1
76,53.5614043796,53.5614043796,1
77,53.5350957208,53.5350957208,1
78,53.5546389935,53.5546389935,1
79,53.5815792458,53.5815792458,1
80,53.528606613,53.528606613,1
81,53.5434123406,53.5434123406,1
82,53.5901505515,53.5901505515,1
83,53.5945299471,53.5945299471,1
84,53.5877296651,53.5877296651,1
85,53.5895683176,53.5895683176,1
86,53.588487373,53.588487373,1
87,53.5750207138,53.5750207138,1
88,53.594489245,53.594489245,1
89,53.5939477132,53.5939477132,1
90,53.5914069701,53.5914069701,1
91,53.5889421765,53.5889421765,1
92,53.5866245505,53.5866245505,1
93,53.5629230612,53.5629230612,1
94,53.5692788989,53.5692788989,1
95,53.5596693366,53.5596693366,1
96,53.5629230612,53.5629230612,1
97,53.5629230612,53.5629230612,1
98,53.564142699,53.564142699,1
99,53.4690897247,53.4690897247,1
100,53.5005277971,53.5005277971,1
101,53.5615745991,53.5615745991,1
102,53.467460144,53.467460144,1
103,53.5627484419,53.5627484419,1
104,53.5854151056,53.5854151056,1
105,53.5839004055,53.5839004055,1
106,53.5322541872,53.5322541872,1
107,53.5465510993,53.5465510993,1
108,53.5602261371,53.5602261371,1
109,53.5799389031,53.5799389031,1
110,53.5673086415,53.5673086415,1
111,53.5627484419,53.5627484419,1
112,53.5823857054,53.5823857054,1
113,53.5791407964,53.5791407964,1
114,53.5823857054,53.5823857054,1
115,53.5823857054,53.5823857054,1
116,53.5823857054,53.5823857054,1
117,53.5823857054,53.5823857054,1
118,53.5823857054,53.5823857054,1
119,53.5823857054,53.5823857054,1
120,53.5764249989,53.5764249989,1
121,53.5622531594,53.5622531594,1
122,53.5639692756,53.5639692756,1
123,53.5548413866,53.5548413866,1
124,53.4747530171,53.4747530171,1
125,53.4943065135,53.4943065135,1
126,53.5548322889,53.5548322889,1
127,53.5548322889,53.5548322889,1
128,53.5562666662,53.5562666662,1
129,53.4789569415,53.4789569415,1
130,53.4742741166,53.4742741166,1
131,53.5525734349,53.5525734349,1
132,53.5548322889,53.5548322889,1
133,53.5548322889,53.5548322889,1
134,53.5548322889,53.5548322889,1
135,53.5704642923,53.5704642923,1
136,53.567483939,53.567483939,1
137,53.5493905425,53.5493905425,1
138,53.567483939,53.567483939,1
139,53.567483939,53.567483939,1
140,53.5629575581,53.5629575581,1
141,53.5645035858,53.5645035858,1
142,53.5652059724,53.5652059724,1
143,53.5645035858,53.5645035858,1
144,53.5645035858,53.5645035858,1
145,53.5645035858,53.5645035858,1
146,53.5645035858,53.5645035858,1
147,53.5645035858,53.5645035858,1
148,53.5652059724,53.5652059724,1
149,53.5364196346,53.5364196346,1
150,53.5424430693,53.5424430693,1
151,53.5424430693,53.5424430693,1
152,53.5364196346,53.5364196346,1
153,53.5364196346,53.5364196346,1
154,53.5364196346,53.5364196346,1
155,53.5141540046,53.5141540046,1
156,53.5374516736,53.5374516736,1
157,53.5364196346,53.5364196346,1
158,53.5636117288,53.5636117288,1
159,53.5534261037,53.5534261037,1
160,53.5553523869,53.5553523869,1
161,53.5645035858,53.5645035858,1
162,53.5612577346,53.5612577346,1
163,53.5645035858,53.5645035858,1
164,53.560894602,53.560894602,1
165,53.5624128592,53.5624128592,1
166,53.5578397136,53.5578397136,1
167,53.5620469389,53.5620469389,1
168,53.5613150984,53.5613150984,1
169,53.5148196717,53.5148196717,1
170,53.559577406,53.559577406,1
171,53.5543643288,53.5543643288,1
172,53.5618247262,53.5618247262,1
173,53.5491512516,53.5491512516,1
174,53.558245784,53.558245784,1
175,53.556626065,53.556626065,1
176,53.5578580875,53.5578580875,1
177,53.55909011,53.55909011,1
178,53.5603221326,53.5603221326,1
179,53.5439381744,53.5439381744,1
180,53.5578580875,53.5578580875,1
181,53.5578580875,53.5578580875,1
182,53.5578580875,53.5578580875,1
183,53.550888944,53.550888944,1
184,53.550888944,53.550888944,1
185,53.5491512516,53.5491512516,1
186,53.564360571,53.564360571,1
187,53.5578580875,53.5578580875,1
188,53.561563132,53.561563132,1
189,53.5578580875,53.5578580875,1
190,53.5456758668,53.5456758668,1
191,53.567953398,53.567953398,1
192,53.561563132,53.561563132,1
193,53.5515345312,53.5515345312,1
194,53.5751135432,53.5751135432,1
195,53.5700476908,53.5700476908,1
196,53.56370276,53.56370276,1
197,53.5558756777,53.5558756777,1
198,53.5728938945,53.5728938945,1
199,53.577689453,53.577689453,1
200,53.5614215638,53.5614215638,1
201,53.5550551777,53.5550551777,1
202,53.5556555032,53.5556555032,1
203,53.5556555032,53.5556555032,1
204,53.5732645707,53.5732645707,1
205,53.5624107582,53.5624107582,1
206,53.5880580566,53.5880580566,1
207,53.5873429217,53.5873429217,1
208,53.5912712113,53.5912712113,1
209,53.5748908696,53.5748908696,1
210,53.5989280064,53.5989280064,1
211,53.5943388093,53.5943388093,1
212,53.5926296401,53.5926296401,1
213,53.5891105477,53.5891105477,1
214,53.5891105477,53.5891105477,1
215,53.5891105477,53.5891105477,1
216,53.5867703864,53.5867703864,1
217,53.5878880483,53.5878880483,1
218,53.5858472501,53.5858472501,1
