time,speed,category,start_lat,start_lon,end_lat,end_lon,is_fixed,iri,distance,suspension,Line_Geometry,VPROMMS_ID
08:10:17 2017-April-27,27.38,POOR,20.04651824,105.84512746,20.0468347,105.84421752,True,7.23,101.44,SUV,"LINESTRING (105.84512746 20.04651824, 105.84421752 20.0468347)",212TH00036_1
08:10:29 2017-April-27,30.74,POOR,20.0468347,105.84421752,20.04711411,105.84330599,True,6.68,100.25,SUV,"LINESTRING (105.84421752 20.0468347, 105.84330599 20.04711411)",212TH00036_1
08:10:41 2017-April-27,29.76,POOR,20.04711411,105.84330599,20.04735669,105.84235791,True,6.57,102.76,SUV,"LINESTRING (105.84330599 20.04711411, 105.84235791 20.04735669)",212TH00036_1
08:10:51 2017-April-27,36.93,POOR,20.04735669,105.84235791,20.04761321,105.84140397,True,7.0,103.76,SUV,"LINESTRING (105.84235791 20.04735669, 105.84140397 20.04761321)",212TH00036_1
08:11:01 2017-April-27,38.65,POOR,20.04761321,105.84140397,20.04788307,105.84041742,True,7.65,107.45,SUV,"LINESTRING (105.84140397 20.04761321, 105.84041742 20.04788307)",212TH00036_1
08:11:11 2017-April-27,39.47,POOR,20.04788307,105.84041742,20.04817354,105.83942676,True,8.67,108.51,SUV,"LINESTRING (105.84041742 20.04788307, 105.83942676 20.04817354)",212TH00036_1
08:11:22 2017-April-27,35.44,POOR,20.04817354,105.83942676,20.04854449,105.83849989,True,9.39,105.3,SUV,"LINESTRING (105.83942676 20.04817354, 105.83849989 20.04854449)",212TH00036_1
08:11:33 2017-April-27,33.59,POOR,20.04854449,105.83849989,20.04895713,105.83763647,True,8.66,101.22,SUV,"LINESTRING (105.83849989 20.04854449, 105.83763647 20.04895713)",212TH00036_1
08:11:43 2017-April-27,37.19,POOR,20.04895713,105.83763647,20.04911274,105.836679,True,9.02,101.64,SUV,"LINESTRING (105.83763647 20.04895713, 105.836679 20.04911274)",212TH00036_1
08:11:55 2017-April-27,29.53,POOR,20.04911274,105.836679,20.04898982,105.83572154,True,10.5,101.09,SUV,"LINESTRING (105.836679 20.04911274, 105.83572154 20.04898982)",212TH00036_1
08:12:13 2017-April-27,21.67,POOR,20.04898982,105.83572154,20.04882474,105.83473415,True,11.88,104.9,SUV,"LINESTRING (105.83572154 20.04898982, 105.83473415 20.04882474)",212TH00036_1
08:12:27 2017-April-27,26.37,POOR,20.04882474,105.83473415,20.04865806,105.8337854,True,12.23,100.96,SUV,"LINESTRING (105.83473415 20.04882474, 105.8337854 20.04865806)",212TH00036_1
08:12:43 2017-April-27,22.75,POOR,20.04865806,105.8337854,20.04848317,105.83283892,True,10.17,100.89,SUV,"LINESTRING (105.8337854 20.04865806, 105.83283892 20.04848317)",212TH00036_1
08:13:08 2017-April-27,22.24,POOR,20.04840484,105.83251186,20.04813587,105.83159111,True,11.99,100.82,SUV,"LINESTRING (105.83251186 20.04840484, 105.83159111 20.04813587)",212TH00036_1
08:13:27 2017-April-27,20.32,POOR,20.04813587,105.83159111,20.04792439,105.83060548,True,12.99,105.74,SUV,"LINESTRING (105.83159111 20.04813587, 105.83060548 20.04792439)",212TH00036_1
08:13:47 2017-April-27,18.48,POOR,20.04792439,105.83060548,20.04762466,105.82965774,True,11.46,104.55,SUV,"LINESTRING (105.83060548 20.04792439, 105.82965774 20.04762466)",212TH00036_1
08:14:02 2017-April-27,23.98,POOR,20.04762466,105.82965774,20.04754436,105.82865073,True,13.31,105.72,SUV,"LINESTRING (105.82965774 20.04762466, 105.82865073 20.04754436)",212TH00036_1
08:14:16 2017-April-27,26.58,POOR,20.04754436,105.82865073,20.04751368,105.82766267,True,10.14,103.42,SUV,"LINESTRING (105.82865073 20.04754436, 105.82766267 20.04751368)",212TH00036_1
08:14:27 2017-April-27,34.93,POOR,20.04751368,105.82766267,20.04748459,105.82663497,True,11.88,107.56,SUV,"LINESTRING (105.82766267 20.04751368, 105.82663497 20.04748459)",212TH00036_1
08:14:38 2017-April-27,34.69,POOR,20.04748459,105.82663497,20.04729914,105.8256832,True,6.74,101.67,SUV,"LINESTRING (105.82663497 20.04748459, 105.8256832 20.04729914)",212TH00036_1
08:14:49 2017-April-27,34.74,POOR,20.04729914,105.8256832,20.04729588,105.82465047,True,9.48,108.04,SUV,"LINESTRING (105.8256832 20.04729914, 105.82465047 20.04729588)",212TH00036_1
08:15:00 2017-April-27,35.1,POOR,20.04729588,105.82465047,20.04740534,105.82361329,True,8.18,109.18,SUV,"LINESTRING (105.82465047 20.04729588, 105.82361329 20.04740534)",212TH00036_1
08:15:09 2017-April-27,40.11,POOR,20.04740534,105.82361329,20.04759368,105.82267368,True,8.2,100.49,SUV,"LINESTRING (105.82361329 20.04740534, 105.82267368 20.04759368)",212TH00036_1
08:15:19 2017-April-27,37.66,POOR,20.04759368,105.82267368,20.04782553,105.8217054,True,9.83,104.5,SUV,"LINESTRING (105.82267368 20.04759368, 105.8217054 20.04782553)",212TH00036_1
08:15:30 2017-April-27,33.51,POOR,20.04782553,105.8217054,20.04795101,105.82073771,True,13.35,102.19,SUV,"LINESTRING (105.8217054 20.04782553, 105.82073771 20.04795101)",212TH00036_1
08:15:41 2017-April-27,33.22,POOR,20.04795101,105.82073771,20.04796194,105.81977304,True,10.11,100.93,SUV,"LINESTRING (105.82073771 20.04795101, 105.81977304 20.04796194)",212TH00036_1
