points,Junction
3,POINT (105.5901684564313 19.99287631054212)
3,POINT (105.5626694855515 20.07144354601598)
3,POINT (105.5833856760597 20.02338184348052)
3,POINT (105.6167689728781 20.01519547653586)
3,POINT (105.5282505569264 20.01274865866924)
3,POINT (105.5699456426836 20.03203540248699)
3,POINT (105.569225721715 19.97643235742841)
3,POINT (105.607706983949 20.01237640895748)
3,POINT (105.6740286179224 19.99226673169725)
3,POINT (105.5475506704337 20.02627770332113)
3,POINT (105.5774974851172 20.01386900292044)
3,POINT (105.6907664867354 19.95964844763201)
3,POINT (105.576588684819 19.97097977852778)
3,POINT (105.5688300721376 20.00993461914734)
3,POINT (105.6911645523554 19.96093670256766)
3,POINT (105.5457177995032 20.01747445067507)
3,POINT (105.5979691652995 19.96796394467233)
3,POINT (105.5829332234809 20.02604917412997)
3,POINT (105.5686970837469 20.01012023208358)
3,POINT (105.5776432520754 20.01310417336045)
3,POINT (105.6032873860134 20.01732911828972)
3,POINT (105.6098217637759 20.01773314332939)
3,POINT (105.5282992692476 20.02846814825345)
3,POINT (105.6909800390398 19.9593593320845)
3,POINT (105.717731020415 19.99092946319904)
3,POINT (105.5962968572645 19.96834264946786)
3,POINT (105.5775247150623 20.01296504855328)
3,POINT (105.5973539536062 20.02188718536401)
3,POINT (105.5397463540607 20.00926851084176)
3,POINT (105.5597590442673 20.07219036053315)
3,POINT (105.6354324296803 19.98960453933883)
3,POINT (105.5477900097224 20.01964837338536)
3,POINT (105.6809778123958 19.99018840114759)
3,POINT (105.601409954541 19.98130055423792)
3,POINT (105.603684347123 20.01725732018443)
3,POINT (105.548912989122 20.03131032986797)
3,POINT (105.6445702589443 19.99720200495078)
3,POINT (105.6746385795591 19.9925340905614)
3,POINT (105.5729183502759 20.01178453991831)
3,POINT (105.6766951241114 19.9949668761492)
3,POINT (105.6854056438134 19.99805391038117)
3,POINT (105.5192926596739 20.07248969802143)
3,POINT (105.661708406259 19.98483436456964)
3,POINT (105.5893427293794 20.01611530881269)
3,POINT (105.5857109711003 20.02424134995595)
3,POINT (105.5752353198673 20.01239010658517)
3,POINT (105.5701048618416 20.0127325302654)
3,POINT (105.5995808494018 20.01923147071615)
3,POINT (105.5837988309994 19.96622644595395)
3,POINT (105.5468713218887 20.00675125902982)
3,POINT (105.6026494906975 20.01617978988152)
3,POINT (105.5875899026003 19.99256369692341)
3,POINT (105.6581197148775 19.96653746853371)
